Tournament,Step,PlayerID,Action,Reward,ObservationDict,AgentPosition,IsRFIOpportunity,RaiserPosition
1,1,1,bet_small,0.00,"{""active_in_hand"": [0, 1, 2, 3, 4, 5], ""big_blind"": 100, ""button_pos"": 3, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 50, ""5"": 100}, ""current_player_id"": 0, ""hand"": [""9C"", ""4D""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 6, ""player_id"": 0, ""pot"": 150, ""small_blind"": 50, ""stacks"": {""0"": 10000, ""1"": 10000, ""2"": 10000, ""3"": 10000, ""4"": 9950, ""5"": 9900}, ""stage"": ""preflop""}",N/A,False,1
1,2,1,fold,-200.00,"{""active_in_hand"": [0, 1, 5], ""big_blind"": 100, ""button_pos"": 3, ""community_cards"": [], ""current_bets"": {""0"": 200, ""1"": 10000, ""2"": 0, ""3"": 0, ""4"": 50, ""5"": 10000}, ""current_player_id"": 0, ""hand"": [""9C"", ""4D""], ""legal_actions"": [""all_in"", ""fold""], ""num_active_players"": 4, ""player_id"": 0, ""pot"": 20250, ""small_blind"": 50, ""stacks"": {""0"": 9800, ""1"": 0, ""2"": 10000, ""3"": 10000, ""4"": 9950, ""5"": 0}, ""stage"": ""preflop""}",N/A,False,1
1,4,1,fold,0.00,"{""active_in_hand"": [0, 1, 2, 3], ""big_blind"": 100, ""button_pos"": 4, ""community_cards"": [], ""current_bets"": {""0"": 50, ""1"": 100, ""2"": 100, ""3"": 10000, ""4"": 0, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""JD"", ""2S""], ""legal_actions"": [""all_in"", ""fold""], ""num_active_players"": 4, ""player_id"": 0, ""pot"": 10250, ""small_blind"": 50, ""stacks"": {""0"": 9750, ""1"": 20150.0, ""2"": 9900, ""3"": 0, ""4"": 9950, ""5"": 0}, ""stage"": ""preflop""}",N/A,False,N/A
1,7,1,bet_small,0.00,"{""active_in_hand"": [0, 3, 4], ""big_blind"": 100, ""button_pos"": 5, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 0, ""2"": 0, ""3"": 50, ""4"": 100, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""2S"", ""9C""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 3, ""player_id"": 0, ""pot"": 150, ""small_blind"": 50, ""stacks"": {""0"": 9750, ""1"": 0.0, ""2"": 0, ""3"": 40250.0, ""4"": 9850, ""5"": 0}, ""stage"": ""preflop""}",N/A,False,4
1,8,1,bet_small,0.00,"{""active_in_hand"": [0, 3, 4], ""big_blind"": 100, ""button_pos"": 5, ""community_cards"": [], ""current_bets"": {""0"": 200, ""1"": 0, ""2"": 0, ""3"": 400, ""4"": 800, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""2S"", ""9C""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 3, ""player_id"": 0, ""pot"": 1400, ""small_blind"": 50, ""stacks"": {""0"": 9550, ""1"": 0.0, ""2"": 0, ""3"": 39900.0, ""4"": 9150, ""5"": 0}, ""stage"": ""preflop""}",N/A,False,4
1,9,1,bet_small,0.00,"{""active_in_hand"": [0, 3, 4], ""big_blind"": 100, ""button_pos"": 5, ""community_cards"": [], ""current_bets"": {""0"": 1200, ""1"": 0, ""2"": 0, ""3"": 1600, ""4"": 2600, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""2S"", ""9C""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 3, ""player_id"": 0, ""pot"": 5400, ""small_blind"": 50, ""stacks"": {""0"": 8550, ""1"": 0.0, ""2"": 0, ""3"": 38700.0, ""4"": 7350, ""5"": 0}, ""stage"": ""preflop""}",N/A,False,3
1,10,1,all_in,-9750.00,"{""active_in_hand"": [0, 3, 4], ""big_blind"": 100, ""button_pos"": 5, ""community_cards"": [], ""current_bets"": {""0"": 3900, ""1"": 0, ""2"": 0, ""3"": 9700, ""4"": 9700, ""5"": 0}, ""current_player_id"": 0, ""hand"": [""2S"", ""9C""], ""legal_actions"": [""all_in"", ""call"", ""fold""], ""num_active_players"": 3, ""player_id"": 0, ""pot"": 23300, ""small_blind"": 50, ""stacks"": {""0"": 5850, ""1"": 0.0, ""2"": 0, ""3"": 30600.0, ""4"": 250, ""5"": 0}, ""stage"": ""preflop""}",N/A,False,3
2,2,1,bet_small,0.00,"{""active_in_hand"": [0, 1, 2, 3, 5], ""big_blind"": 100, ""button_pos"": 1, ""community_cards"": [], ""current_bets"": {""0"": 0, ""1"": 0, ""2"": 50, ""3"": 100, ""4"": 0, ""5"": 200}, ""current_player_id"": 0, ""hand"": [""7C"", ""9C""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 6, ""player_id"": 0, ""pot"": 350, ""small_blind"": 50, ""stacks"": {""0"": 10000, ""1"": 10000, ""2"": 9950, ""3"": 9900, ""4"": 10000, ""5"": 9800}, ""stage"": ""preflop""}",N/A,False,1
2,3,1,bet_small,0.00,"{""active_in_hand"": [0, 1, 2, 3], ""big_blind"": 100, ""button_pos"": 1, ""community_cards"": [], ""current_bets"": {""0"": 300, ""1"": 400, ""2"": 400, ""3"": 400, ""4"": 0, ""5"": 200}, ""current_player_id"": 0, ""hand"": [""7C"", ""9C""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 6, ""player_id"": 0, ""pot"": 1700, ""small_blind"": 50, ""stacks"": {""0"": 9700, ""1"": 9600, ""2"": 9600, ""3"": 9600, ""4"": 10000, ""5"": 9800}, ""stage"": ""preflop""}",N/A,False,3
2,4,1,bet_small,0.00,"{""active_in_hand"": [0, 1, 2, 3], ""big_blind"": 100, ""button_pos"": 1, ""community_cards"": [], ""current_bets"": {""0"": 1150, ""1"": 1150, ""2"": 3700, ""3"": 6250, ""4"": 0, ""5"": 200}, ""current_player_id"": 0, ""hand"": [""7C"", ""9C""], ""legal_actions"": [""all_in"", ""bet_big"", ""bet_small"", ""call"", ""fold""], ""num_active_players"": 6, ""player_id"": 0, ""pot"": 12450, ""small_blind"": 50, ""stacks"": {""0"": 8850, ""1"": 8850, ""2"": 6300, ""3"": 3750, ""4"": 10000, ""5"": 9800}, ""stage"": ""preflop""}",N/A,False,2
